id,setor,tombo,descricao,
u85FeFV1sE,110409,298127,ESTANTE DE ACO ABERTA COM PRATELEIRAS,
u86GgxMY9v,110409,821696,CARTEIRA  COM ASSENTO E ENCOSTO EM MADEIRA,
u87q1g2BnT,1117,8365,ARMÁRIO ALTO 800X500X1600 MM,
u8Fr5ClW2N,1164,2647,CADEIRA FIXA AZUL ROYAL,
u8HZyTzx7d,1114,411,COMPUTADOR - ESTAÇÃO TRABALHO - DESKTOP ´TIPO,
u8Pmd4V4eW,111629,283153,MICROCOMPUTADOR,
u8Xme6B8np,110409,820618,ARQUIVO DE ACO COM GAVETAS,
u8YXmKtSLm,1116,2279,CADEIRA SECRETARIA OPERACIONAL SEM BRAÇOS,
u8ZnS8XFwt,1164,1388,CADEIRA COMUM,
u8dAoqNAAJ,1110,3572,MESA PARA IMPRESSORA 800X600X730MM,
u8fVlrdVH0,110409,223050,QUADRO BRANCO MAGNETIZADO,
u91lT3COVo,110409,209131,CARTEIRA ESCOLAR UNIVERSITARIA DE,
u91pYXmxZp,1110,1132,PEDESTAL PARA MICROFONE,
u92InC1mWq,1113,11383,POLTRONA FIXA,
u9H9lNTukg,110402,3888,MESAS RETAS,
u9Kg8BPqNx,110406,12970,ESTANTE METÁLICA ABERTA,
u9RGkPHA09,110409,253036,EXTINTOR PARA INCENDIO A BASE DE GAS,
u9XfPYdZ2n,110409,821510,HUB INTELIGENTE,
u9acCHPS8D,1114,341639,CADEIRA GIRATORIA COM ASSENTO E ENCOSTO,
u9lB7utakY,110409,208501,CADEIRA COM ASSENTO E ENCOSTO EM,
u9mUN1iyHP,110302,11747,INTERFACE PARA FIBRA ÓTICA TIPO 1000BASE-LX,
u9vpkLNIrq,1116,324,COMPUTADOR - ESTAÇÃO TRABALHO - DESKTOP ´TIPO,
uADrwZGhTE,110409,209852,MESA DE MADEIRA SEM GAVETA,
uAOAqJXGjx,110303,14048,COMPUTADOR DELL OPTIPLEX TIPO I -,
uASvy3T689,110409,4222,ARMÁRIO ESTANTE DE AÇO,
uAUdY28dMd,110409,319374,CARTEIRA ESCOLAR UNIVERSITARIA COM ASSENTO E,
uAfrOC3lE0,110302,15489,PONTO DE ACESSO,
uAglPwg7AB,1114,6273,CADEIRA DE GIRATÓRIA SEM BRAÇO MARTIFLEX,
uAhAmA3fAN,111103,13423,MANEQUIM DE ALFAIATARIA FEMININO TAM 40,
uAs0p7gxXg,110302,11862,SWITCH DE REDE CAMADA 2 - 24 PORTAS GIGABIT,
uAsSuEWHnY,1163,11834,SWITCH DE REDE CAMADA 2 - 24 PORTAS GIGABIT,
uB0QB06mPK,110409,288031,MESA PARA MICROCOMPUTADOR,
uB6psKECFM,1110,13294,BANQUETA ALTA MADEIRA,
uBHCKBok24,110409,341756,CADEIRA FIXA COM ASSENTO E ENCOSTO ESTOFADOS,
uBHsRkhDlS,110409,238053,BOMBA A VACUO,
uBMnBbwDYn,110409,343821,MESA PARA ESTODO,
uBkNXmEE40,1115,4646,COMPUTADOR DELL OPTIPLEX 5050 SFF,
uBrJh6QMPq,110105,2022,CADEIRA SECRETARIA OPERACIONAL COM BRAÇOS,
uBvLvc7cUQ,111904,146,LUMINÁRIA EMERGÊNCIA 30 LEDS AUTON. 6 HORAS,
uC2WXto5dF,1164,9440,CARTEIRA ESCOLAR PARA DESTRO,
uCUQRhc5Gp,110409,12850,POLTRONA GIRATORIA PARA ESCRITORIO ESPALDAR,
uCXDQ0J81k,1164,10235,POLTRONA PARA AUDITORIO,
uCan5ONmRX,111104,11255,POLTRONA FIXA,
uCbE871Ent,110409,239161,BANHO MARIA DE BOCA,
uCcwn3f1WR,110409,248125,CARTEIRA ESCOLAR UNIVERSITARIA COM ASSENTO E,
uCyZ3FcSGC,1114,1873,CADEIRA SECRETARIA OPERACIONAL COM BRAÇOS,
